fortune_rank,company,industry,ceo,headquarters,ceo_start_year,company_join_year,pre_ceo_role,career_path,education,advanced_degree,founder_status,leadership_signal,source_name,source_url,photo_url,photo_source_name,photo_source_url
1,Amazon,Retail and cloud,Andy Jassy,"Seattle, WA",2021,1997,"CEO, Amazon Web Services",Internal builder,"Harvard College; Harvard Business School MBA",Yes,Non-founder,"Built AWS inside Amazon before becoming enterprise CEO",Amazon investor relations,https://ir.aboutamazon.com/officers-and-directors/person-details/default.aspx?ItemId=7601ef7b-4732-44e2-84ef-2cccb54ac11a,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Andy_Jassy.jpg/330px-Andy_Jassy.jpg,Wikimedia Commons,https://en.wikipedia.org/wiki/Andy_Jassy
2,Walmart,Retail,John Furner,"Bentonville, AR",2026,1993,"President and CEO, Walmart U.S.",Internal operator,"University of Arkansas BS",No,Non-founder,"Started as an hourly associate and scaled through operating roles",Walmart leadership,https://corporate.walmart.com/about/leadership/john-furner,https://corporate.walmart.com/content/dam/corporate/images/about/leadership/executive-leadership/John-Furner-472x340.jpg,Walmart leadership,https://corporate.walmart.com/about/leadership/john-furner
3,UnitedHealth Group,Health care,Stephen J. Hemsley,"Minnetonka, MN",2025,1997,"Executive chairman; former CEO",Returning insider,Fordham University,No,Non-founder,"Returned during a leadership transition to stabilize performance",UnitedHealth Group newsroom,https://www.unitedhealthgroup.com/newsroom/2025/2025-05-13-uhg-announces-leadership-transition.html,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Stephen_Hemsley.jpg/330px-Stephen_Hemsley.jpg,Wikimedia Commons,https://en.wikipedia.org/wiki/Stephen_J._Hemsley
4,Apple,Technology,Tim Cook,"Cupertino, CA",2011,1998,"Chief Operating Officer",Internal operator,"Auburn University BS; Duke University MBA",Yes,Non-founder,"Converted operations expertise into enterprise leadership",Apple leadership,https://www.apple.com/leadership/tim-cook/,https://www.apple.com/leadership/images/bio/tim-cook_image.png.large.png,Apple leadership,https://www.apple.com/leadership/tim-cook/
5,Alphabet,Technology,Sundar Pichai,"Mountain View, CA",2019,2004,"CEO, Google; product leader",Internal builder,"IIT Kharagpur BTech; Stanford MS; Wharton MBA",Yes,Non-founder,"Rose through product leadership and now leads Google and Alphabet",Google Blog,https://blog.google/authors/sundar-pichai/,https://storage.googleapis.com/gweb-uniblog-publish-prod/images/sundar-208x208.width-400.format-webp.webp,Google Blog,https://blog.google/authors/sundar-pichai/
6,CVS Health,Health care,David Joyner,"Woonsocket, RI",2024,2023,"President, CVS Caremark",Returning executive,"Texas Tech University BBA",No,Non-founder,"Returned to lead pharmacy benefits before becoming CEO",CVS Health investor relations,https://investors.cvshealth.com/governance/board-of-directors/person-details/default.aspx?ItemId=1a973e27-dd0e-4509-a4c1-8d36fa64b415,https://abcnews4.com/resources/media2/1x1/5504/1440/1376x0/90/49ae593e-66c0-4a67-a09f-5fa236bbf2d4-CVSDavidJoyner848x6351.jpg,ABC News 4 / CVS,https://abcnews4.com/news/nation-world/cvs-health-ceo-lynch-steps-down-david-joyner-replaces-lynch
7,Berkshire Hathaway,Conglomerate,Greg Abel,"Omaha, NE",2026,1999,"Vice chair, non-insurance operations",Internal operator,"University of Alberta BCom",No,Non-founder,"Succeeded Warren Buffett after years managing operating businesses",Business Insider,https://www.businessinsider.com/who-is-greg-abel-warren-buffett-successor-berkshire-hathaway,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Greg_Abel.jpg/330px-Greg_Abel.jpg,Wikimedia Commons,https://en.wikipedia.org/wiki/Greg_Abel
8,McKesson,Health care distribution,Brian Tyler,"Irving, TX",2019,1997,"President and Chief Operating Officer",Internal operator,"University of California Santa Cruz BA; University of Chicago MA and PhD",Yes,Non-founder,"Long-tenured McKesson executive with distribution and strategy roles",McKesson,https://www.mckesson.com/about-us/corporate-governance/board-of-directors/brian-tyler/,https://www.mckesson.com/siteassets/pages/about-us/corporate-governance/board-of-directors/brian-tyler.jpg,McKesson,https://www.mckesson.com/about-us/corporate-governance/board-of-directors/brian-tyler/
9,Exxon Mobil,Energy,Darren Woods,"Spring, TX",2017,1992,"President; senior vice president",Internal operator,"Texas A&M University BS; Northwestern Kellogg MBA",Yes,Non-founder,"Deep internal career in refining, chemicals, and global operations",ExxonMobil,https://corporate.exxonmobil.com/who-we-are/our-approach/management-committee,https://corporate.exxonmobil.com/-/media/digizuite-media-library/2025/08/27/12/14/2537539.jpg?usecustomfunctions=1&centercrop=1,ExxonMobil,https://corporate.exxonmobil.com/who-we-are/our-approach/management-committee
10,Cencora,Health care distribution,Robert P. Mauch,"Conshohocken, PA",2024,2007,"Executive Vice President and Chief Operating Officer",Acquired founder,"PharmD; PhD",Yes,Acquired founder,"Founded Xcenda before joining through acquisition and later leading Cencora",Cencora investor relations,https://investor.amerisourcebergen.com/governance/board-of-directors/person-details/default.aspx?itemid=3c45879d-590a-40ec-bc9b-15018156ad99,https://www.cencora.com/-/media/assets/corporate/global/images/headshots/robert-p-mauch.jpg?h=450&iar=0&w=450&useCustomFunctions=1&centerCrop=1&hash=82D737E01774368CE79933922CD24BB5,Cencora leadership,https://www.cencora.com/about/leadership/robert-p-mauch
